lakecode,month,year,station,secchi_m
SNSL,AUG,2020,1,0.65
SNSL,AUG,2020,2,0.88
SNSL,AUG,2020,3,0.93
WSSL,AUG,2020,1,0.32
WSSL,AUG,2020,2,0.38
WSSL,AUG,2020,3,0.4
BUSL,OCT,2020,1,0.39
BUSL,OCT,2020,2,0.41
BUSL,OCT,2020,3,0.76
CLSL,OCT,2020,1,0.96
CLSL,OCT,2020,2,1.04
CLSL,OCT,2020,3,1.08
DGSL,OCT,2020,1,1.21
DGSL,OCT,2020,2,1.28
DGSL,OCT,2020,3,1.41
GESL,OCT,2020,1,1.97
GESL,OCT,2020,2,1.48
GESL,OCT,2020,3,1.44
MESL,OCT,2020,1,0.31
MESL,OCT,2020,2,0.28
MESL,OCT,2020,3,0.29
NOSL,OCT,2020,1,0.3
NOSL,OCT,2020,2,0.31
NOSL,OCT,2020,3,0.32
OTSL,OCT,2020,1,0.09
OTSL,OCT,2020,2,0.11
OTSL,OCT,2020,3,0.13
PTSA,OCT,2020,1,2.35
PTSA,OCT,2020,2,3.1
PTSA,OCT,2020,3,2.9
SCSL,OCT,2020,1,0.39
SCSL,OCT,2020,2,0.31
SCSL,OCT,2020,3,0.32
SNSL,OCT,2020,1,0.65
SNSL,OCT,2020,2,0.61
SNSL,OCT,2020,3,0.71
WSSL,OCT,2020,1,0.79
WSSL,OCT,2020,2,0.74
WSSL,OCT,2020,3,0.88
